year   jan   feb   mar   apr   may   jun   jul   aug   sep   oct   nov   dec   win   spr   sum   aut   ann
1939  140.7   48.7   53.9   59.5   31.7   59.9  114.8   68.9   31.8  113.8  136.9   53.0   290.9   145.2   243.6   282.5   913.7
1940   62.1   64.6   71.8   53.7   37.4   19.7  104.8   16.5   47.5   95.7  168.2   67.3   179.7   162.9   141.0   311.4   809.4
1941   78.6   89.4   82.9   38.7   56.2   32.1   68.7  111.1   17.7   73.8   76.1   44.6   235.4   177.9   211.9   167.7   770.1
1942   90.4   28.0   57.4   37.5   90.5   18.8   68.7   80.2   60.7   88.9   42.2   89.4   162.9   185.4   167.7   191.8   752.6
1943  134.3   40.7   23.3   34.4   74.1   54.6   49.9   78.2   77.2   75.2   60.5   47.2   264.4   131.9   182.7   212.9   749.5
1944   72.8   38.4   10.8   52.5   35.1   60.9   68.1   71.5   97.9  103.3  139.0   64.4   158.3    98.4   200.6   340.1   814.6
1945   72.2   68.2   30.5   38.5   75.3   74.0   60.3   65.5   58.4   98.2   17.1   86.1   204.8   144.3   199.7   173.7   744.3
1946   74.4   75.3   35.4   44.3   67.8   77.5   73.0  127.1  115.0   35.1  144.7   85.6   235.8   147.4   277.6   294.8   955.2
1947   70.5   48.0  146.7   71.9   50.5   62.7   64.1   11.5   45.3   17.7   68.1   70.6   204.1   269.2   138.3   131.2   727.7
1948  154.0   42.8   33.4   48.4   64.3   85.4   40.8  106.8   66.8   68.4   49.3   97.2   267.4   146.1   233.0   184.6   857.7
1949   38.5   38.1   36.8   59.7   58.7   18.5   52.8   48.7   45.2  139.9  100.6   74.8   173.8   155.1   120.0   285.6   712.1
1950   35.5  124.9   36.0   66.0   51.1   44.8   93.8  108.9  113.9   37.7  136.2   60.6   235.3   153.2   247.5   287.8   909.5
1951   83.1  103.4  101.4   66.7   76.8   31.3   47.2  120.0   73.3   29.6  166.2   88.8   247.0   244.9   198.5   269.1   987.7
1952   73.2   22.2   69.0   53.1   59.4   49.6   31.4   94.5   83.3   96.6   85.8   77.4   184.2   181.5   175.4   265.7   795.5
1953   29.0   45.2   21.7   67.2   55.6   61.4   89.0   77.0   73.3   65.8   61.5   31.9   151.7   144.5   227.4   200.6   678.6
1954   54.2   72.4   68.8   13.2   73.3   81.8   81.2  115.5   84.0  107.3  150.2   83.0   158.4   155.3   278.6   341.5   984.9
1955   75.3   57.2   48.7   27.6   94.6   74.6   26.3   25.8   47.1   67.7   55.4   95.2   215.5   170.9   126.7   170.3   695.4
1956  107.8   24.9   28.2   37.4   21.9   66.9   94.3  143.6   81.5   52.5   29.1   95.7   227.9    87.6   304.7   163.1   783.8
1957   65.5   86.4   60.0    9.5   42.4   47.4   97.5   96.9  109.2   66.6   57.7   72.8   247.5   111.9   241.8   233.4   811.8
1958   81.7  103.0   44.5   27.8   76.3  104.4   88.0   91.3  102.6   75.0   48.1   95.1   257.5   148.6   283.7   225.6   937.8
1959   89.8    9.2   62.0   72.5   23.9   41.3   59.6   33.7    7.7   76.4  107.2  148.9   194.1   158.4   134.6   191.2   732.2
1960  113.3   71.9   46.1   40.2   40.8   46.9  107.1   99.5  101.3  164.5  129.5  101.3   334.1   127.1   253.5   395.3  1062.4
1961  105.5   64.5   13.9   88.7   34.9   36.5   64.8   75.1   70.5  103.7   54.7   91.2   271.4   137.4   176.3   228.9   803.9
1962   99.7   33.3   39.7   63.0   60.5   15.6   56.5  104.2   92.6   34.5   65.0   66.2   224.2   163.2   176.3   192.2   730.8
1963   28.4   30.2   92.6   72.7   47.6   77.0   51.9   97.6   66.0   56.2  144.2   27.4   124.8   212.9   226.4   266.4   791.7
1964   25.5   29.2   88.5   62.3   54.8   74.1   46.4   48.1   32.1   54.2   52.1   86.3    82.0   205.7   168.6   138.4   653.6
1965   89.3   16.1   66.6   57.6   56.9   64.9   95.5   69.3  128.5   29.2  101.0  143.8   191.7   181.1   229.7   258.8   918.8
1966   51.5  114.8   32.7   96.2   65.4   78.6   72.6  100.9   47.8  115.5   74.5   98.8   310.1   194.3   252.1   237.8   949.3
1967   56.0   82.2   52.0   43.9  128.3   39.2   56.4   72.5   88.9  154.1   68.5   66.8   237.0   224.3   168.1   311.5   908.9
1968   70.1   43.8   53.4   61.7   69.6   79.9   97.0   64.7  139.6   85.6   64.2   73.9   180.7   184.6   241.5   289.4   903.3
1969   85.7   63.2   70.0   53.3  104.6   53.0   66.4   67.7   39.3   16.2  123.2   79.2   222.8   227.9   187.0   178.7   821.7
1970  100.2   75.5   56.2   79.0   23.1   39.7   67.6   74.7   62.0   51.3  155.8   48.0   254.8   158.3   181.9   269.1   833.0
1971   97.6   31.7   61.9   49.3   45.9   93.2   41.4  103.0   22.5   66.7   83.8   35.2   177.2   157.0   237.7   173.0   732.1
1972   94.8   68.6   71.5   61.9   68.0   70.1   52.2   32.9   38.9   30.5   93.4   96.6   198.6   201.5   155.3   162.8   779.5
1973   41.8   36.7   21.2   62.9   73.9   60.3   84.9   57.8   71.1   49.8   44.9   61.3   175.0   158.0   203.0   165.9   666.7
1974  109.8   95.2   42.6   13.2   36.3   61.2   68.7   88.8  131.3   86.3  116.8   69.4   266.3    92.2   218.8   334.4   919.8
1975  109.4   27.6   75.1   63.1   43.7   19.7   60.8   49.0   98.5   31.2   66.1   44.1   206.4   182.0   129.5   195.8   688.3
1976   55.0   37.6   42.1   19.1   58.6   17.4   29.4   26.6  142.0  141.7   77.1   85.1   136.7   119.9    73.4   360.8   731.7
1977   91.4  122.9   68.2   47.1   48.4   80.2   23.4   93.5   36.1   58.7   91.0   85.9   299.3   163.7   197.1   185.9   846.8
1978  103.5   74.4   75.8   45.8   41.9   59.0   79.5   62.3   52.1   16.6   50.7  155.7   263.8   163.6   200.8   119.5   817.4
1979   75.0   58.1  117.0   62.3  109.5   37.2   32.8   85.7   36.7   68.5   79.0  143.9   288.8   288.8   155.7   184.2   905.7
1980   70.6   81.8   92.2   16.8   27.5  116.8   64.1   84.6   60.9  120.7   79.7   69.6   296.3   136.5   265.4   261.3   885.3
1981   54.4   48.8  138.5   58.2   84.4   44.4   52.8   42.3  128.8  109.8   63.4   86.1   172.8   281.1   139.4   302.0   911.8
1982   66.9   41.6   91.9   20.7   42.5  117.0   33.6   78.9   68.6  111.2  112.8   92.5   194.6   155.0   229.5   292.6   878.1
1983   88.2   36.9   60.0  101.9  107.2   32.6   35.8   26.6   88.4   74.0   46.9  102.2   217.6   269.0    95.1   209.2   800.5
